
Section,Step ID,Step Title,Content Type,Main Content,Instructions,Questions/Options,Validation,UI Elements,Notes for Youth Adaptation
Visualize Your Potential,4-4,Your Future Self,Video + Reflection,"Future self visualization connecting strengths to potential.","Video on future self visualization. Connecting strengths to potential.","Describe your ideal future self in detail|What skills and qualities will your future self have developed?|What impact will your future self have on others?","Text input validation","Video player Reflection form","Focus on near-term achievable goals for teens"
Visualize Your Potential,4-5,Final Reflection,Reflection,"Synthesizing journey creating personal manifesto.","Your Personal Statement","Write a personal statement that captures your strengths values and vision for your future","Text input validation","Large text area Character counter Save functionality","Encourage authentic teen voice and expression"
Resources,5-1,Workshop Guide,Resource,"Complete workshop methodology. Reference materials for continued growth.","Your AllStarTeams Guide","","","Download button Resource links","Create teen-friendly study guides"
Resources,5-2,Your Star Report,Report,"AI-generated comprehensive analysis. Integration of all assessment results.","Your Holistic Development Report","","","Report generation Download button","Simplify language focus on actionable insights"
Resources,5-3,Your Star Card,Download,"Final personalized star card. Visual summary of profile.","Download Your Star Card","","","Star card display Download button Share options","Make design more appealing to youth social sharing"
UI Elements,Navigation,Back to Dashboard,Button,"Return to main dashboard","","","","Button","Consistent across all youth content"
UI Elements,Navigation,Next Step,Button,"Proceed to next step","","","","Button","Clear progress indication for youth"
UI Elements,Navigation,Save Progress,Button,"Save current progress","","","","Button","Frequent save reminders for youth"
UI Elements,Progress,Step X of Y,Indicator,"Show current progress","","","","Progress indicator","Visual progress important for youth engagement"
UI Elements,Validation,All fields required,Message,"Complete all required fields","","","","Error message","Clear friendly validation messages"
UI Elements,Success,Assessment Complete,Message,"Assessment completed successfully","","","","Success notification","Celebrate achievements for youth motivation"
Mobile Considerations,Text,Tap to continue,Button,"Mobile navigation","","","","Touch-friendly button","Essential for youth mobile usage"
Mobile Considerations,Text,Swipe to navigate,Instruction,"Mobile gesture instructions","","","","Gesture indicator","Youth expect intuitive mobile interaction"
Accessibility,Text,Skip to main content,Link,"Accessibility navigation","","","","Skip link","Important for inclusive youth design"
Accessibility,Text,Required field,Label,"Form field requirement","","","","Field indicator","Clear marking for youth users"
Youth Adaptation Notes,Language,Casual Tone,Style,"Use conversational friendly language","","","","Throughout content","Replace formal business language with casual"
Youth Adaptation Notes,Examples,School Context,Content,"Replace work examples with school scenarios","","","","All examples","Use academic sports social contexts"
Youth Adaptation Notes,Timeframes,Shorter Goals,Content,"Use 1-2 year instead of 5 year planning","","","","Future planning sections","More appropriate for teen planning horizons"
Youth Adaptation Notes,Visual Design,Youth Appeal,Style,"Use colors images that appeal to teens","","","","All visual elements","Consider current youth design trends"
Youth Adaptation Notes,Motivation,Achievement Focus,Content,"Emphasize progress and achievement","","","","Progress indicators rewards","Important for youth engagement and completion"
